,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
22,23,3.0,3.0,2.0,3,3,53,No,Travel_Rarely,Research & Development,6.875,4,Life Sciences,Female,2,Research Scientist,Married,279.24,3.0,Y,11,8,0,21.0,2,5,1,3
24,25,2.0,4.0,2.0,3,3,29,No,Travel_Frequently,Research & Development,10.0,4,Medical,Male,1,Laboratory Technician,Single,846.6899999999999,1.0,Y,11,8,1,10.0,2,10,0,9
25,26,2.0,4.0,3.0,3,3,55,No,Travel_Rarely,Research & Development,0.625,4,Other,Female,1,Research Scientist,Married,883.87,3.0,Y,11,8,0,12.0,2,10,0,8
26,27,1.0,1.0,3.0,3,4,26,No,Travel_Frequently,Research & Development,5.625,3,Life Sciences,Female,1,Manager,Married,2117.83,1.0,Y,22,8,0,5.0,3,5,3,3
27,28,4.0,4.0,3.0,3,3,37,No,Travel_Rarely,Sales,3.125,1,Marketing,Male,1,Research Scientist,Single,351.65,1.0,Y,11,8,0,17.0,2,17,5,7
28,29,4.0,3.0,1.0,2,3,44,Yes,Travel_Frequently,Research & Development,0.625,2,Medical,Male,2,Research Scientist,Divorced,1343.29,3.0,Y,14,8,1,19.0,2,1,0,0
29,30,4.0,4.0,3.0,2,3,38,No,Travel_Rarely,Sales,1.25,3,Marketing,Female,1,Manager,Divorced,578.24,9.0,Y,12,8,0,10.0,3,2,1,2
30,31,1.0,2.0,3.0,2,3,26,Yes,Travel_Rarely,Research & Development,2.5,3,Medical,Male,3,Research Scientist,Divorced,891.02,2.0,Y,11,8,0,5.0,5,3,0,2
31,32,4.0,4.0,3.0,2,3,28,No,Travel_Rarely,Research & Development,4.375,3,Other,Male,1,Human Resources,Single,1252.81,1.0,Y,13,8,0,5.0,6,5,0,2
32,33,3.0,1.0,3.0,3,3,49,No,Travel_Frequently,Research & Development,0.625,1,Medical,Female,2,Research Scientist,Single,466.83,9.0,Y,13,8,0,22.0,2,3,1,2
33,34,3.0,2.0,3.0,3,3,36,No,Travel_Rarely,Sales,3.125,3,Technical Degree,Male,3,Sales Executive,Single,702.65,4.0,Y,14,8,0,10.0,2,8,7,7
34,35,4.0,2.0,2.0,3,3,31,No,Travel_Frequently,Research & Development,5.625,4,Medical,Male,1,Sales Executive,Divorced,608.92,1.0,Y,16,8,1,2.0,4,2,2,2
35,36,4.0,4.0,3.0,3,3,26,Yes,Travel_Rarely,Research & Development,5.0,3,Medical,Male,2,Manager,Single,2052.31,1.0,Y,12,8,2,8.0,5,8,7,4
36,37,2.0,4.0,2.0,3,3,37,No,Travel_Frequently,Sales,5.625,1,Marketing,Male,1,Laboratory Technician,Married,196.82,1.0,Y,14,8,0,4.0,3,4,1,2
37,38,3.0,2.0,4.0,3,3,42,No,Travel_Frequently,Sales,1.25,2,Marketing,Male,3,Research Director,Married,384.28,5.0,Y,13,8,0,23.0,2,20,4,8
38,39,3.0,3.0,3.0,2,3,18,Yes,Travel_Rarely,Research & Development,0.625,4,Life Sciences,Male,1,Sales Executive,Single,303.55,1.0,Y,14,8,2,0.0,3,0,0,0
39,40,3.0,2.0,2.0,2,3,35,No,Travel_Rarely,Sales,12.5,2,Life Sciences,Male,1,Laboratory Technician,Married,670.02,0.0,Y,19,8,0,12.0,2,11,6,9
41,42,4.0,2.0,3.0,2,3,51,No,Travel_Rarely,Research & Development,1.25,3,Life Sciences,Male,2,Laboratory Technician,Divorced,737.75,5.0,Y,13,8,0,13.0,2,4,1,2
42,43,4.0,2.0,3.0,3,3,41,No,Travel_Rarely,Research & Development,18.125,1,Life Sciences,Male,1,Laboratory Technician,Single,309.27,1.0,Y,12,8,0,22.0,6,22,0,4
43,44,4.0,3.0,3.0,3,3,18,No,Travel_Rarely,Sales,4.375,3,Life Sciences,Male,1,Research Scientist,Single,495.56,1.0,Y,15,8,0,0.0,3,0,0,0
44,45,2.0,1.0,3.0,2,4,28,No,Travel_Rarely,Research & Development,5.625,3,Medical,Male,1,Sales Representative,Single,604.24,0.0,Y,23,8,2,9.0,2,8,0,7
45,46,2.0,4.0,2.0,3,3,31,No,Travel_Rarely,Research & Development,5.0,1,Technical Degree,Male,1,Manufacturing Director,Married,381.68,4.0,Y,12,8,1,10.0,2,8,7,7
46,47,3.0,4.0,2.0,3,4,39,No,Travel_Rarely,Sales,3.125,4,Marketing,Female,2,Human Resources,Divorced,273.65,0.0,Y,20,8,0,19.0,3,18,3,7
47,48,2.0,2.0,3.0,3,4,36,No,Non-Travel,Research & Development,3.125,4,Life Sciences,Male,1,Sales Executive,Married,1115.1399999999999,7.0,Y,21,8,0,11.0,4,9,0,8
48,49,4.0,3.0,2.0,3,4,32,No,Travel_Rarely,Sales,1.25,3,Marketing,Male,2,Laboratory Technician,Married,351.78,1.0,Y,21,8,1,13.0,4,13,4,8
49,50,1.0,2.0,3.0,2,3,38,No,Travel_Rarely,Research & Development,3.125,2,Life Sciences,Female,3,Research Scientist,Married,829.92,3.0,Y,19,8,2,19.0,4,10,0,1
50,51,4.0,3.0,3.0,2,3,58,No,Non-Travel,Research & Development,1.25,3,Life Sciences,Male,2,Manufacturing Director,Divorced,515.84,2.0,Y,13,8,2,12.0,3,5,1,2
51,52,3.0,4.0,3.0,2,3,31,No,Travel_Rarely,Research & Development,12.5,1,Technical Degree,Female,3,Research Scientist,Married,1287.9099999999999,0.0,Y,13,8,1,6.0,3,5,0,3
52,53,1.0,1.0,3.0,3,4,31,No,Travel_Rarely,Sales,4.375,4,Marketing,Male,2,Sales Executive,Married,1719.25,3.0,Y,21,8,1,9.0,2,2,1,0
53,54,1.0,1.0,3.0,3,3,45,No,Travel_Frequently,Research & Development,1.875,1,Medical,Female,1,Sales Executive,Divorced,460.2,1.0,Y,13,8,0,24.0,6,24,9,11
54,55,3.0,4.0,1.0,3,3,31,No,Travel_Rarely,Sales,10.0,4,Marketing,Female,2,Research Scientist,Divorced,364.52,0.0,Y,19,8,2,3.0,0,2,2,2
55,56,4.0,2.0,3.0,3,3,33,No,Travel_Frequently,Research & Development,5.625,3,Life Sciences,Male,4,Research Director,Married,2520.96,6.0,Y,12,8,1,12.0,3,10,8,8
56,57,3.0,1.0,3.0,3,4,39,No,Travel_Rarely,Sales,0.625,4,Life Sciences,Male,1,Sales Executive,Married,2556.45,1.0,Y,22,8,1,21.0,6,21,11,10
57,58,3.0,4.0,3.0,3,3,43,No,Travel_Frequently,Research & Development,4.375,4,Medical,Male,4,Research Scientist,Single,317.07,0.0,Y,15,8,0,9.0,2,8,1,7
58,59,3.0,3.0,3.0,3,4,49,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,Male,3,Manufacturing Director,Single,950.8199999999999,7.0,Y,22,8,0,25.0,2,7,0,7
59,60,3.0,2.0,2.0,3,3,52,Yes,Travel_Rarely,Research & Development,4.375,1,Life Sciences,Female,2,Research Scientist,Married,620.62,2.0,Y,18,8,1,11.0,2,8,7,7
60,61,3.0,2.0,2.0,3,4,27,No,Travel_Rarely,Research & Development,9.375,4,Medical,Male,3,Research Scientist,Single,507.26,1.0,Y,22,8,0,4.0,2,4,1,2
61,62,3.0,2.0,3.0,4,3,32,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,Male,3,Research Scientist,Married,346.06,1.0,Y,11,8,1,13.0,6,13,11,9
62,63,4.0,3.0,3.0,4,3,27,No,Travel_Rarely,Research & Development,8.125,2,Medical,Female,4,Research Director,Single,371.28,1.0,Y,12,8,2,5.0,5,5,0,4
63,64,4.0,4.0,3.0,4,3,31,No,Travel_Rarely,Sales,15.0,3,Life Sciences,Male,2,Healthcare Representative,Divorced,140.53,4.0,Y,11,8,3,13.0,4,7,1,7
64,65,1.0,4.0,2.0,3,3,32,No,Travel_Rarely,Research & Development,4.375,3,Technical Degree,Male,2,Healthcare Representative,Single,321.36,7.0,Y,13,8,0,10.0,2,7,0,7
65,66,1.0,4.0,2.0,2,3,28,Yes,Travel_Rarely,Research & Development,5.625,4,Medical,Male,1,Sales Executive,Married,737.49,5.0,Y,14,8,1,5.0,4,3,2,2
66,67,4.0,4.0,3.0,3,3,30,No,Travel_Rarely,Research & Development,8.125,3,Life Sciences,Female,4,Research Director,Married,545.61,1.0,Y,13,8,0,11.0,3,10,1,9
67,68,3.0,3.0,3.0,2,3,31,No,Travel_Frequently,Research & Development,1.25,1,Life Sciences,Female,1,Manager,Married,1262.69,1.0,Y,17,8,0,10.0,5,10,8,9
68,69,3.0,4.0,3.0,3,3,39,No,Travel_Frequently,Research & Development,11.875,4,Medical,Female,1,Research Scientist,Married,268.06,1.0,Y,13,8,0,21.0,4,21,13,3
69,70,4.0,3.0,2.0,3,3,39,Yes,Travel_Rarely,Research & Development,0.625,1,Medical,Female,1,Laboratory Technician,Married,556.92,4.0,Y,17,8,1,12.0,0,1,0,0
70,71,2.0,4.0,2.0,3,3,33,No,Travel_Frequently,Sales,2.5,2,Life Sciences,Male,4,Research Scientist,Single,622.4399999999999,3.0,Y,11,8,1,9.0,0,7,0,1
71,72,4.0,3.0,3.0,4,4,47,No,Travel_Rarely,Research & Development,2.5,3,Life Sciences,Female,2,Healthcare Representative,Married,767.78,4.0,Y,23,8,0,21.0,4,3,1,1
72,73,3.0,3.0,4.0,3,3,43,No,Travel_Frequently,Research & Development,8.75,3,Medical,Female,5,Research Director,Divorced,505.17999999999995,1.0,Y,17,8,2,9.0,2,9,0,0
73,74,3.0,2.0,3.0,3,3,27,No,Non-Travel,Research & Development,1.25,3,Life Sciences,Male,1,Research Director,Married,2186.99,0.0,Y,17,8,0,6.0,3,5,1,4
74,75,4.0,3.0,2.0,3,3,54,No,Travel_Frequently,Research & Development,0.625,4,Life Sciences,Male,2,Research Scientist,Single,381.28999999999996,3.0,Y,12,8,2,20.0,2,4,0,3
75,76,3.0,1.0,2.0,3,4,43,No,Travel_Rarely,Research & Development,4.375,2,Life Sciences,Female,2,Manager,Married,845.0,8.0,Y,23,8,0,10.0,3,1,0,0
76,77,4.0,4.0,3.0,3,3,45,No,Travel_Rarely,Sales,1.875,1,Marketing,Female,1,Sales Executive,Married,2232.62,9.0,Y,14,8,1,12.0,6,10,9,8
77,78,2.0,4.0,2.0,3,3,40,No,Travel_Rarely,Research & Development,1.25,4,Other,Male,4,Research Scientist,Married,654.29,2.0,Y,14,8,2,6.0,6,4,0,2
78,79,2.0,1.0,2.0,3,3,29,Yes,Travel_Rarely,Research & Development,18.125,3,Medical,Female,1,Research Scientist,Married,299.90999999999997,1.0,Y,13,8,1,7.0,0,7,0,7
79,80,2.0,4.0,3.0,3,4,29,No,Travel_Rarely,Human Resources,5.0,3,Medical,Male,3,Sales Representative,Single,336.31,0.0,Y,22,8,2,4.0,3,3,2,2
80,81,4.0,3.0,3.0,2,3,30,No,Travel_Rarely,Research & Development,6.25,3,Life Sciences,Male,2,Research Scientist,Divorced,715.91,1.0,Y,12,8,2,10.0,2,10,1,2
81,82,2.0,2.0,3.0,2,3,27,No,Travel_Rarely,Research & Development,6.875,2,Medical,Male,1,Manager,Married,571.0899999999999,1.0,Y,18,8,1,8.0,2,8,0,7
82,83,4.0,4.0,2.0,3,3,37,No,Travel_Rarely,Sales,0.625,4,Life Sciences,Male,2,Healthcare Representative,Divorced,1735.24,7.0,Y,14,8,0,8.0,4,6,0,4
83,84,3.0,4.0,3.0,3,3,38,No,Travel_Rarely,Research & Development,17.5,4,Medical,Male,1,Laboratory Technician,Divorced,855.79,0.0,Y,12,8,0,12.0,1,11,2,9
85,86,4.0,2.0,3.0,3,3,29,No,Travel_Rarely,Research & Development,1.875,4,Life Sciences,Male,3,Sales Executive,Divorced,517.14,1.0,Y,11,8,0,7.0,0,7,1,7
86,87,3.0,2.0,3.0,4,3,35,No,Travel_Rarely,Sales,10.0,2,Technical Degree,Male,3,Manager,Single,330.71999999999997,0.0,Y,13,8,1,17.0,3,16,0,13
87,88,3.0,4.0,2.0,2,4,23,No,Travel_Rarely,Research & Development,12.5,4,Life Sciences,Male,1,Manufacturing Director,Divorced,701.87,1.0,Y,23,8,0,4.0,2,4,0,2
88,89,4.0,2.0,3.0,3,3,41,No,Travel_Rarely,Research & Development,5.625,2,Life Sciences,Female,1,Laboratory Technician,Single,713.31,6.0,Y,19,8,2,8.0,0,5,1,2
89,90,2.0,3.0,3.0,4,3,47,No,Travel_Frequently,Sales,0.625,3,Medical,Female,2,Laboratory Technician,Single,888.42,3.0,Y,16,8,1,5.0,2,0,0,0
90,91,1.0,4.0,3.0,1,4,42,No,Travel_Rarely,Research & Development,1.875,4,Life Sciences,Male,1,Manager,Single,141.82999999999998,2.0,Y,22,8,0,16.0,0,1,0,0
91,92,4.0,3.0,2.0,2,4,29,No,Non-Travel,Sales,13.75,4,Marketing,Male,2,Human Resources,Married,745.68,1.0,Y,22,8,0,4.0,1,4,0,2
92,93,3.0,3.0,3.0,2,3,42,No,Travel_Rarely,Sales,4.375,4,Medical,Male,3,Research Scientist,Divorced,289.38,0.0,Y,12,8,1,4.0,3,3,1,0
93,94,3.0,2.0,3.0,3,3,32,No,Travel_Rarely,Research & Development,1.25,3,Medical,Male,2,Research Scientist,Married,747.11,1.0,Y,13,8,0,8.0,0,8,0,7
94,95,1.0,3.0,1.0,2,3,48,No,Travel_Rarely,Sales,8.125,4,Medical,Male,4,Sales Executive,Married,1281.02,3.0,Y,16,8,1,15.0,2,0,0,0
95,96,3.0,1.0,3.0,3,3,37,No,Travel_Rarely,Research & Development,5.0,5,Technical Degree,Male,2,Manufacturing Director,Divorced,710.7099999999999,4.0,Y,12,8,0,13.0,2,7,6,7
96,97,4.0,3.0,4.0,3,4,30,No,Non-Travel,Sales,15.625,4,Other,Male,1,Healthcare Representative,Married,699.4,7.0,Y,21,8,1,4.0,0,2,2,2
97,98,3.0,3.0,3.0,3,3,26,No,Travel_Rarely,Sales,17.5,3,Medical,Female,5,Laboratory Technician,Married,669.63,1.0,Y,15,8,3,8.0,3,8,7,7
98,99,1.0,4.0,3.0,3,3,42,No,Travel_Rarely,Sales,1.25,2,Medical,Female,1,Laboratory Technician,Single,277.28999999999996,3.0,Y,13,8,2,14.0,2,1,0,0
99,100,1.0,2.0,3.0,2,3,21,Yes,Travel_Frequently,Research & Development,5.625,3,Medical,Female,4,Manufacturing Director,Single,2323.75,1.0,Y,12,8,0,3.0,5,3,1,2
100,101,4.0,4.0,3.0,1,4,36,No,Non-Travel,Human Resources,17.5,3,Human Resources,Male,2,Laboratory Technician,Single,316.15999999999997,4.0,Y,22,8,0,7.0,4,1,0,0
101,102,1.0,4.0,3.0,3,3,36,No,Travel_Frequently,Research & Development,3.75,3,Life Sciences,Female,2,Research Scientist,Married,620.23,4.0,Y,13,8,1,16.0,2,13,1,12
102,103,4.0,3.0,3.0,1,3,57,No,Travel_Rarely,Research & Development,13.125,4,Life Sciences,Male,5,Research Scientist,Married,2490.93,2.0,Y,18,8,0,15.0,2,3,1,2
103,104,4.0,3.0,3.0,3,3,40,No,Travel_Rarely,Research & Development,5.0,3,Other,Male,2,Sales Executive,Married,661.31,3.0,Y,14,8,1,10.0,3,7,1,7
104,105,1.0,4.0,2.0,1,3,21,No,Non-Travel,Research & Development,0.625,5,Life Sciences,Female,2,Manager,Single,372.19,1.0,Y,14,8,0,3.0,2,3,2,2
105,106,4.0,3.0,3.0,1,4,33,Yes,Travel_Rarely,Human Resources,17.5,2,Human Resources,Female,5,Manager,Single,722.93,1.0,Y,21,8,1,1.0,3,1,0,0
106,107,3.0,1.0,3.0,4,3,37,No,Travel_Rarely,Research & Development,3.125,3,Life Sciences,Male,4,Research Scientist,Married,278.71999999999997,6.0,Y,19,8,0,17.0,3,5,0,3
107,108,3.0,3.0,4.0,3,3,46,No,Non-Travel,Sales,1.25,4,Marketing,Female,2,Laboratory Technician,Married,398.45,2.0,Y,11,8,0,7.0,3,1,0,0
108,109,1.0,2.0,3.0,4,3,41,Yes,Travel_Frequently,Research & Development,10.0,1,Medical,Female,1,Research Scientist,Single,365.3,1.0,Y,11,8,0,8.0,3,8,7,7
109,110,4.0,4.0,3.0,3,3,50,No,Travel_Rarely,Research & Development,5.625,3,Medical,Female,3,Laboratory Technician,Single,1285.44,6.0,Y,15,8,0,20.0,2,4,1,3
110,111,3.0,3.0,3.0,2,4,40,Yes,Travel_Rarely,Research & Development,5.0,3,Medical,Female,1,Healthcare Representative,Married,1121.6399999999999,2.0,Y,20,8,0,8.0,2,6,1,0
112,113,3.0,2.0,3.0,3,3,21,Yes,Travel_Rarely,Human Resources,6.25,2,Human Resources,Male,1,Laboratory Technician,Single,698.49,1.0,Y,12,8,1,1.0,2,1,0,0
113,114,4.0,4.0,3.0,4,3,29,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,Female,2,Research Director,Single,866.7099999999999,9.0,Y,12,8,1,6.0,6,3,1,2
114,115,3.0,2.0,3.0,3,3,35,No,Travel_Rarely,Research & Development,18.125,3,Life Sciences,Female,3,Sales Executive,Single,650.39,9.0,Y,15,8,0,10.0,2,1,0,0
116,117,2.0,4.0,3.0,2,3,28,No,Travel_Rarely,Research & Development,1.25,2,Medical,Male,3,Manager,Single,371.53999999999996,1.0,Y,12,8,0,7.0,2,7,0,7
117,118,2.0,3.0,3.0,3,3,49,No,Travel_Rarely,Sales,1.25,3,Technical Degree,Male,2,Manufacturing Director,Single,676.52,8.0,Y,14,8,1,26.0,3,5,0,0
118,119,3.0,4.0,2.0,3,4,51,No,Travel_Rarely,Research & Development,0.625,2,Life Sciences,Male,1,Sales Executive,Married,533.65,4.0,Y,22,8,1,18.0,2,7,0,7
119,120,4.0,3.0,3.0,3,3,36,No,Travel_Rarely,Sales,9.375,2,Life Sciences,Male,1,Sales Executive,Married,1258.27,4.0,Y,12,8,0,6.0,1,2,2,2
120,121,1.0,4.0,2.0,3,4,34,Yes,Non-Travel,Research & Development,4.375,3,Life Sciences,Male,1,Sales Representative,Single,730.2099999999999,8.0,Y,25,8,1,9.0,3,5,0,4
121,122,3.0,4.0,3.0,3,3,55,No,Travel_Rarely,Sales,16.25,3,Marketing,Male,1,Laboratory Technician,Single,1358.24,2.0,Y,13,8,0,30.0,3,5,1,2
122,123,4.0,3.0,4.0,3,3,24,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,Female,5,Manager,Divorced,376.60999999999996,1.0,Y,18,8,3,5.0,4,5,0,3
123,124,3.0,2.0,3.0,3,3,30,No,Travel_Rarely,Research & Development,1.875,3,Life Sciences,Female,2,Manager,Married,775.8399999999999,1.0,Y,13,8,0,1.0,3,1,0,0
125,126,1.0,2.0,3.0,2,3,22,No,Travel_Rarely,Research & Development,10.0,5,Other,Male,1,Research Scientist,Married,388.83,1.0,Y,19,8,2,2.0,3,2,1,2
126,127,2.0,3.0,3.0,3,3,36,No,Travel_Rarely,Research & Development,0.625,3,Medical,Female,5,Healthcare Representative,Married,2552.68,1.0,Y,12,8,1,10.0,3,10,9,0
127,128,3.0,4.0,3.0,2,3,30,Yes,Travel_Frequently,Sales,1.875,2,Marketing,Male,3,Research Scientist,Single,146.76999999999998,9.0,Y,19,8,0,3.0,2,1,0,0
128,129,4.0,1.0,2.0,3,3,37,No,Travel_Rarely,Research & Development,6.25,1,Technical Degree,Male,1,Sales Executive,Divorced,1734.33,1.0,Y,14,8,1,18.0,3,18,12,17
129,130,4.0,2.0,3.0,2,3,40,No,Travel_Rarely,Research & Development,3.75,2,Medical,Male,3,Research Scientist,Divorced,563.16,7.0,Y,14,8,2,8.0,3,5,1,3
130,131,2.0,1.0,3.0,2,3,42,No,Travel_Rarely,Research & Development,1.25,3,Medical,Female,4,Manager,Divorced,1434.03,3.0,Y,12,8,1,8.0,2,5,1,2
131,132,3.0,2.0,2.0,2,3,37,No,Travel_Rarely,Sales,5.625,1,Marketing,Male,3,Sales Executive,Single,577.1999999999999,2.0,Y,11,8,1,18.0,3,1,0,1
132,133,1.0,2.0,3.0,3,3,43,No,Travel_Rarely,Sales,6.25,2,Life Sciences,Female,1,Sales Executive,Divorced,600.2099999999999,1.0,Y,11,8,0,25.0,2,25,3,9
133,134,2.0,3.0,3.0,2,3,40,No,Travel_Rarely,Sales,3.75,2,Life Sciences,Female,1,Laboratory Technician,Married,344.10999999999996,6.0,Y,13,8,0,20.0,2,1,0,0
134,135,1.0,1.0,2.0,2,4,54,No,Travel_Rarely,Human Resources,5.625,3,Life Sciences,Female,2,Manufacturing Director,Married,821.99,4.0,Y,23,8,1,24.0,2,4,1,2
135,136,3.0,3.0,3.0,3,4,34,No,Non-Travel,Research & Development,17.5,3,Medical,Male,1,Laboratory Technician,Married,738.01,9.0,Y,20,8,1,6.0,3,3,1,2
136,137,2.0,1.0,1.0,2,3,31,No,Travel_Rarely,Research & Development,6.25,4,Life Sciences,Male,3,Sales Executive,Married,284.31,1.0,Y,15,8,1,13.0,2,13,3,12
138,139,3.0,3.0,3.0,3,3,43,No,Travel_Rarely,Sales,16.875,4,Life Sciences,Male,2,Sales Representative,Divorced,517.01,4.0,Y,18,8,1,8.0,3,5,0,2
139,140,2.0,4.0,3.0,4,3,25,No,Travel_Rarely,Human Resources,4.375,2,Human Resources,Male,1,Manufacturing Director,Single,1122.29,1.0,Y,19,8,1,5.0,2,5,1,3
140,141,2.0,3.0,3.0,2,4,37,No,Non-Travel,Research & Development,0.625,3,Medical,Male,3,Laboratory Technician,Married,261.03999999999996,3.0,Y,22,8,0,15.0,5,13,10,7
141,142,4.0,1.0,3.0,3,3,31,No,Travel_Rarely,Research & Development,15.0,1,Medical,Male,3,Laboratory Technician,Married,577.1999999999999,1.0,Y,13,8,1,4.0,2,4,3,2
142,143,2.0,3.0,3.0,1,4,39,No,Travel_Frequently,Research & Development,16.25,4,Technical Degree,Female,1,Sales Executive,Divorced,398.71,1.0,Y,20,8,1,21.0,5,21,1,6
143,144,3.0,1.0,2.0,3,3,56,No,Travel_Frequently,Research & Development,12.5,4,Life Sciences,Female,3,Sales Executive,Married,691.73,9.0,Y,14,8,0,36.0,1,7,7,7
144,145,2.0,3.0,3.0,3,3,30,No,Travel_Rarely,Sales,3.125,4,Medical,Female,2,Manufacturing Director,Single,703.3,0.0,Y,17,8,1,6.0,2,5,4,4
145,146,2.0,1.0,3.0,2,3,41,No,Travel_Rarely,Research & Development,4.375,3,Technical Degree,Female,3,Research Scientist,Married,361.65999999999997,1.0,Y,14,8,0,10.0,2,10,0,7
146,147,3.0,1.0,3.0,2,3,28,No,Travel_Rarely,Research & Development,4.375,3,Medical,Male,3,Healthcare Representative,Divorced,1554.4099999999999,1.0,Y,13,8,0,10.0,2,10,1,8
147,148,1.0,1.0,3.0,3,3,25,Yes,Travel_Rarely,Research & Development,3.125,2,Life Sciences,Female,3,Laboratory Technician,Married,345.8,5.0,Y,13,8,0,6.0,3,2,0,2
148,149,4.0,3.0,3.0,2,4,52,No,Travel_Rarely,Research & Development,16.25,2,Life Sciences,Female,2,Sales Representative,Married,438.75,2.0,Y,21,8,0,28.0,2,5,0,4
