,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
53,39,No,Travel_Rarely,Sales,0.625,4,Life Sciences,57,Male,1,Sales Executive,Married,2556.45,1.0,Y,22,8,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4
54,43,No,Travel_Frequently,Research & Development,4.375,4,Medical,58,Male,4,Research Scientist,Single,317.07,0.0,Y,15,8,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3
55,49,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,59,Male,3,Manufacturing Director,Single,950.8199999999999,7.0,Y,22,8,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4
56,52,Yes,Travel_Rarely,Research & Development,4.375,1,Life Sciences,60,Female,2,Research Scientist,Married,620.62,2.0,Y,18,8,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3
57,27,No,Travel_Rarely,Research & Development,9.375,4,Medical,61,Male,3,Research Scientist,Single,507.26,1.0,Y,22,8,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4
58,32,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,62,Male,3,Research Scientist,Married,346.06,1.0,Y,11,8,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3
59,27,No,Travel_Rarely,Research & Development,8.125,2,Medical,63,Female,4,Research Director,Single,371.28,1.0,Y,12,8,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3
60,31,No,Travel_Rarely,Sales,15.0,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,140.53,4.0,Y,11,8,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3
61,32,No,Travel_Rarely,Research & Development,4.375,3,Technical Degree,65,Male,2,Healthcare Representative,Single,321.36,7.0,Y,13,8,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3
62,28,Yes,Travel_Rarely,Research & Development,5.625,4,Medical,66,Male,1,Sales Executive,Married,737.49,5.0,Y,14,8,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3
63,30,No,Travel_Rarely,Research & Development,8.125,3,Life Sciences,67,Female,4,Research Director,Married,545.61,1.0,Y,13,8,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3
64,31,No,Travel_Frequently,Research & Development,1.25,1,Life Sciences,68,Female,1,Manager,Married,1262.69,1.0,Y,17,8,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3
65,39,No,Travel_Frequently,Research & Development,11.875,4,Medical,69,Female,1,Research Scientist,Married,268.06,1.0,Y,13,8,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3
66,39,Yes,Travel_Rarely,Research & Development,0.625,1,Medical,70,Female,1,Laboratory Technician,Married,556.92,4.0,Y,17,8,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3
67,33,No,Travel_Frequently,Sales,2.5,2,Life Sciences,71,Male,4,Research Scientist,Single,622.4399999999999,3.0,Y,11,8,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3
68,47,No,Travel_Rarely,Research & Development,2.5,3,Life Sciences,72,Female,2,Healthcare Representative,Married,767.78,4.0,Y,23,8,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4
69,43,No,Travel_Frequently,Research & Development,8.75,3,Medical,73,Female,5,Research Director,Divorced,505.17999999999995,1.0,Y,17,8,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3
70,27,No,Non-Travel,Research & Development,1.25,3,Life Sciences,74,Male,1,Research Director,Married,2186.99,0.0,Y,17,8,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3
71,54,No,Travel_Frequently,Research & Development,0.625,4,Life Sciences,75,Male,2,Research Scientist,Single,381.28999999999996,3.0,Y,12,8,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3
72,43,No,Travel_Rarely,Research & Development,4.375,2,Life Sciences,76,Female,2,Manager,Married,845.0,8.0,Y,23,8,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4
73,45,No,Travel_Rarely,Sales,1.875,1,Marketing,77,Female,1,Sales Executive,Married,2232.62,9.0,Y,14,8,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3
74,40,No,Travel_Rarely,Research & Development,1.25,4,Other,78,Male,4,Research Scientist,Married,654.29,2.0,Y,14,8,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3
75,29,Yes,Travel_Rarely,Research & Development,18.125,3,Medical,79,Female,1,Research Scientist,Married,299.90999999999997,1.0,Y,13,8,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3
76,29,No,Travel_Rarely,Human Resources,5.0,3,Medical,80,Male,3,Sales Representative,Single,336.31,0.0,Y,22,8,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4
77,30,No,Travel_Rarely,Research & Development,6.25,3,Life Sciences,81,Male,2,Research Scientist,Divorced,715.91,1.0,Y,12,8,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3
78,27,No,Travel_Rarely,Research & Development,6.875,2,Medical,82,Male,1,Manager,Married,571.0899999999999,1.0,Y,18,8,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3
79,37,No,Travel_Rarely,Sales,0.625,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,1735.24,7.0,Y,14,8,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3
80,38,No,Travel_Rarely,Research & Development,17.5,4,Medical,84,Male,1,Laboratory Technician,Divorced,855.79,0.0,Y,12,8,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3
81,29,No,Travel_Rarely,Research & Development,1.875,4,Life Sciences,86,Male,3,Sales Executive,Divorced,517.14,1.0,Y,11,8,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3
82,35,No,Travel_Rarely,Sales,10.0,2,Technical Degree,87,Male,3,Manager,Single,330.71999999999997,0.0,Y,13,8,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3
83,23,No,Travel_Rarely,Research & Development,12.5,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,701.87,1.0,Y,23,8,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4
84,41,No,Travel_Rarely,Research & Development,5.625,2,Life Sciences,89,Female,1,Laboratory Technician,Single,713.31,6.0,Y,19,8,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3
85,47,No,Travel_Frequently,Sales,0.625,3,Medical,90,Female,2,Laboratory Technician,Single,888.42,3.0,Y,16,8,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3
86,42,No,Travel_Rarely,Research & Development,1.875,4,Life Sciences,91,Male,1,Manager,Single,141.82999999999998,2.0,Y,22,8,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4
87,29,No,Non-Travel,Sales,13.75,4,Marketing,92,Male,2,Human Resources,Married,745.68,1.0,Y,22,8,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4
88,42,No,Travel_Rarely,Sales,4.375,4,Medical,93,Male,3,Research Scientist,Divorced,289.38,0.0,Y,12,8,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3
89,32,No,Travel_Rarely,Research & Development,1.25,3,Medical,94,Male,2,Research Scientist,Married,747.11,1.0,Y,13,8,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3
90,48,No,Travel_Rarely,Sales,8.125,4,Medical,95,Male,4,Sales Executive,Married,1281.02,3.0,Y,16,8,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3
91,37,No,Travel_Rarely,Research & Development,5.0,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,710.7099999999999,4.0,Y,12,8,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3
92,30,No,Non-Travel,Sales,15.625,4,Other,97,Male,1,Healthcare Representative,Married,699.4,7.0,Y,21,8,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4
93,26,No,Travel_Rarely,Sales,17.5,3,Medical,98,Female,5,Laboratory Technician,Married,669.63,1.0,Y,15,8,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3
94,42,No,Travel_Rarely,Sales,1.25,2,Medical,99,Female,1,Laboratory Technician,Single,277.28999999999996,3.0,Y,13,8,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3
95,21,Yes,Travel_Frequently,Research & Development,5.625,3,Medical,100,Female,4,Manufacturing Director,Single,2323.75,1.0,Y,12,8,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3
96,36,No,Non-Travel,Human Resources,17.5,3,Human Resources,101,Male,2,Laboratory Technician,Single,316.15999999999997,4.0,Y,22,8,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4
97,36,No,Travel_Frequently,Research & Development,3.75,3,Life Sciences,102,Female,2,Research Scientist,Married,620.23,4.0,Y,13,8,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3
98,57,No,Travel_Rarely,Research & Development,13.125,4,Life Sciences,103,Male,5,Research Scientist,Married,2490.93,2.0,Y,18,8,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3
99,40,No,Travel_Rarely,Research & Development,5.0,3,Other,104,Male,2,Sales Executive,Married,661.31,3.0,Y,14,8,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3
100,21,No,Non-Travel,Research & Development,0.625,5,Life Sciences,105,Female,2,Manager,Single,372.19,1.0,Y,14,8,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3
101,33,Yes,Travel_Rarely,Human Resources,17.5,2,Human Resources,106,Female,5,Manager,Single,722.93,1.0,Y,21,8,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4
102,37,No,Travel_Rarely,Research & Development,3.125,3,Life Sciences,107,Male,4,Research Scientist,Married,278.71999999999997,6.0,Y,19,8,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3
103,46,No,Non-Travel,Sales,1.25,4,Marketing,108,Female,2,Laboratory Technician,Married,398.45,2.0,Y,11,8,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3
104,41,Yes,Travel_Frequently,Research & Development,10.0,1,Medical,109,Female,1,Research Scientist,Single,365.3,1.0,Y,11,8,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3
105,50,No,Travel_Rarely,Research & Development,5.625,3,Medical,110,Female,3,Laboratory Technician,Single,1285.44,6.0,Y,15,8,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3
106,40,Yes,Travel_Rarely,Research & Development,5.0,3,Medical,111,Female,1,Healthcare Representative,Married,1121.6399999999999,2.0,Y,20,8,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4
107,21,Yes,Travel_Rarely,Human Resources,6.25,2,Human Resources,113,Male,1,Laboratory Technician,Single,698.49,1.0,Y,12,8,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3
108,29,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,114,Female,2,Research Director,Single,866.7099999999999,9.0,Y,12,8,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3
109,35,No,Travel_Rarely,Research & Development,18.125,3,Life Sciences,115,Female,3,Sales Executive,Single,650.39,9.0,Y,15,8,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3
110,28,No,Travel_Rarely,Research & Development,1.25,2,Medical,117,Male,3,Manager,Single,371.53999999999996,1.0,Y,12,8,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3
111,49,No,Travel_Rarely,Sales,1.25,3,Technical Degree,118,Male,2,Manufacturing Director,Single,676.52,8.0,Y,14,8,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3
112,51,No,Travel_Rarely,Research & Development,0.625,2,Life Sciences,119,Male,1,Sales Executive,Married,533.65,4.0,Y,22,8,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4
113,36,No,Travel_Rarely,Sales,9.375,2,Life Sciences,120,Male,1,Sales Executive,Married,1258.27,4.0,Y,12,8,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3
114,34,Yes,Non-Travel,Research & Development,4.375,3,Life Sciences,121,Male,1,Sales Representative,Single,730.2099999999999,8.0,Y,25,8,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4
115,55,No,Travel_Rarely,Sales,16.25,3,Marketing,122,Male,1,Laboratory Technician,Single,1358.24,2.0,Y,13,8,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3
116,24,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,123,Female,5,Manager,Divorced,376.60999999999996,1.0,Y,18,8,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3
117,30,No,Travel_Rarely,Research & Development,1.875,3,Life Sciences,124,Female,2,Manager,Married,775.8399999999999,1.0,Y,13,8,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3
118,22,No,Travel_Rarely,Research & Development,10.0,5,Other,126,Male,1,Research Scientist,Married,388.83,1.0,Y,19,8,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3
119,36,No,Travel_Rarely,Research & Development,0.625,3,Medical,127,Female,5,Healthcare Representative,Married,2552.68,1.0,Y,12,8,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3
120,30,Yes,Travel_Frequently,Sales,1.875,2,Marketing,128,Male,3,Research Scientist,Single,146.76999999999998,9.0,Y,19,8,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3
121,37,No,Travel_Rarely,Research & Development,6.25,1,Technical Degree,129,Male,1,Sales Executive,Divorced,1734.33,1.0,Y,14,8,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3
122,40,No,Travel_Rarely,Research & Development,3.75,2,Medical,130,Male,3,Research Scientist,Divorced,563.16,7.0,Y,14,8,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3
123,42,No,Travel_Rarely,Research & Development,1.25,3,Medical,131,Female,4,Manager,Divorced,1434.03,3.0,Y,12,8,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3
124,37,No,Travel_Rarely,Sales,5.625,1,Marketing,132,Male,3,Sales Executive,Single,577.1999999999999,2.0,Y,11,8,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3
125,43,No,Travel_Rarely,Sales,6.25,2,Life Sciences,133,Female,1,Sales Executive,Divorced,600.2099999999999,1.0,Y,11,8,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3
126,40,No,Travel_Rarely,Sales,3.75,2,Life Sciences,134,Female,1,Laboratory Technician,Married,344.10999999999996,6.0,Y,13,8,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3
127,54,No,Travel_Rarely,Human Resources,5.625,3,Life Sciences,135,Female,2,Manufacturing Director,Married,821.99,4.0,Y,23,8,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4
128,34,No,Non-Travel,Research & Development,17.5,3,Medical,136,Male,1,Laboratory Technician,Married,738.01,9.0,Y,20,8,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4
129,31,No,Travel_Rarely,Research & Development,6.25,4,Life Sciences,137,Male,3,Sales Executive,Married,284.31,1.0,Y,15,8,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3
130,43,No,Travel_Rarely,Sales,16.875,4,Life Sciences,139,Male,2,Sales Representative,Divorced,517.01,4.0,Y,18,8,1,8.0,3,5,0,2,3.0,3.0,3.0,3,3
131,25,No,Travel_Rarely,Human Resources,4.375,2,Human Resources,140,Male,1,Manufacturing Director,Single,1122.29,1.0,Y,19,8,1,5.0,2,5,1,3,2.0,4.0,3.0,4,3
132,37,No,Non-Travel,Research & Development,0.625,3,Medical,141,Male,3,Laboratory Technician,Married,261.03999999999996,3.0,Y,22,8,0,15.0,5,13,10,7,2.0,3.0,3.0,2,4
133,31,No,Travel_Rarely,Research & Development,15.0,1,Medical,142,Male,3,Laboratory Technician,Married,577.1999999999999,1.0,Y,13,8,1,4.0,2,4,3,2,4.0,1.0,3.0,3,3
134,39,No,Travel_Frequently,Research & Development,16.25,4,Technical Degree,143,Female,1,Sales Executive,Divorced,398.71,1.0,Y,20,8,1,21.0,5,21,1,6,2.0,3.0,3.0,1,4
135,56,No,Travel_Frequently,Research & Development,12.5,4,Life Sciences,144,Female,3,Sales Executive,Married,691.73,9.0,Y,14,8,0,36.0,1,7,7,7,3.0,1.0,2.0,3,3
136,30,No,Travel_Rarely,Sales,3.125,4,Medical,145,Female,2,Manufacturing Director,Single,703.3,0.0,Y,17,8,1,6.0,2,5,4,4,2.0,3.0,3.0,3,3
137,41,No,Travel_Rarely,Research & Development,4.375,3,Technical Degree,146,Female,3,Research Scientist,Married,361.65999999999997,1.0,Y,14,8,0,10.0,2,10,0,7,2.0,1.0,3.0,2,3
138,28,No,Travel_Rarely,Research & Development,4.375,3,Medical,147,Male,3,Healthcare Representative,Divorced,1554.4099999999999,1.0,Y,13,8,0,10.0,2,10,1,8,3.0,1.0,3.0,2,3
139,25,Yes,Travel_Rarely,Research & Development,3.125,2,Life Sciences,148,Female,3,Laboratory Technician,Married,345.8,5.0,Y,13,8,0,6.0,3,2,0,2,1.0,1.0,3.0,3,3
140,52,No,Travel_Rarely,Research & Development,16.25,2,Life Sciences,149,Female,2,Sales Representative,Married,438.75,2.0,Y,21,8,0,28.0,2,5,0,4,4.0,3.0,3.0,2,4
