,Age,Attrition,DistanceFromHome,Education,EmployeeID,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
10,45,0,10.625,2,11,1,2,1038.83,0.0,13,8,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,55,0,8.75,4,13,0,1,719.9399999999999,0.0,17,8,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,47,1,0.625,1,14,1,1,749.06,1.0,11,8,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
13,28,0,0.625,3,15,1,1,336.96,1.0,14,8,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,37,0,0.625,3,16,1,2,694.98,4.0,11,8,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,21,0,1.875,2,17,1,1,547.6899999999999,1.0,12,8,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,37,0,0.625,3,18,1,2,536.51,2.0,13,8,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
17,35,0,4.375,4,19,1,1,316.94,7.0,16,8,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
18,38,0,5.0,3,20,0,1,893.0999999999999,1.0,11,8,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,26,0,0.625,4,21,1,2,1358.11,1.0,18,8,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,50,0,5.0,4,22,1,1,1256.71,3.0,23,8,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21,53,0,6.875,4,23,0,2,279.24,3.0,11,8,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
22,29,0,10.0,4,25,1,1,846.6899999999999,1.0,11,8,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,55,0,0.625,4,26,0,1,883.87,3.0,11,8,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24,26,0,5.625,3,27,0,1,2117.83,1.0,22,8,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,37,0,3.125,1,28,1,1,351.65,1.0,11,8,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,44,1,0.625,2,29,1,2,1343.29,3.0,14,8,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27,38,0,1.25,3,30,0,1,578.24,9.0,12,8,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,26,1,2.5,3,31,1,3,891.02,2.0,11,8,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29,28,0,4.375,3,32,1,1,1252.81,1.0,13,8,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,49,0,0.625,1,33,0,2,466.83,9.0,13,8,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31,36,0,3.125,3,34,1,3,702.65,4.0,14,8,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32,31,0,5.625,4,35,1,1,608.92,1.0,16,8,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33,26,1,5.0,3,36,1,2,2052.31,1.0,12,8,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,37,0,5.625,1,37,1,1,196.82,1.0,14,8,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,42,0,1.25,2,38,1,3,384.28,5.0,13,8,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
36,18,1,0.625,4,39,1,1,303.55,1.0,14,8,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37,35,0,12.5,2,40,1,1,670.02,0.0,19,8,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,51,0,1.25,3,42,1,2,737.75,5.0,13,8,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,41,0,18.125,1,43,1,1,309.27,1.0,12,8,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,18,0,4.375,3,44,1,1,495.56,1.0,15,8,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
41,28,0,5.625,3,45,1,1,604.24,0.0,23,8,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,31,0,5.0,1,46,1,1,381.68,4.0,12,8,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,39,0,3.125,4,47,0,2,273.65,0.0,20,8,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,36,0,3.125,4,48,1,1,1115.1399999999999,7.0,21,8,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
45,32,0,1.25,3,49,1,2,351.78,1.0,21,8,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,38,0,3.125,2,50,0,3,829.92,3.0,19,8,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
47,58,0,1.25,3,51,1,2,515.84,2.0,13,8,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,31,0,12.5,1,52,0,3,1287.9099999999999,0.0,13,8,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
49,31,0,4.375,4,53,1,2,1719.25,3.0,21,8,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
50,45,0,1.875,1,54,0,1,460.2,1.0,13,8,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
51,31,0,10.0,4,55,0,2,364.52,0.0,19,8,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
52,33,0,5.625,3,56,1,4,2520.96,6.0,12,8,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
53,39,0,0.625,4,57,1,1,2556.45,1.0,22,8,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
54,43,0,4.375,4,58,1,4,317.07,0.0,15,8,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
55,49,0,0.625,3,59,1,3,950.8199999999999,7.0,22,8,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,52,1,4.375,1,60,0,2,620.62,2.0,18,8,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
57,27,0,9.375,4,61,1,3,507.26,1.0,22,8,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
58,32,0,0.625,3,62,1,3,346.06,1.0,11,8,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
59,27,0,8.125,2,63,0,4,371.28,1.0,12,8,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
60,31,0,15.0,3,64,1,2,140.53,4.0,11,8,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,32,0,4.375,3,65,1,2,321.36,7.0,13,8,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62,28,1,5.625,4,66,1,1,737.49,5.0,14,8,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
63,30,0,8.125,3,67,0,4,545.61,1.0,13,8,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
64,31,0,1.25,1,68,0,1,1262.69,1.0,17,8,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65,39,0,11.875,4,69,0,1,268.06,1.0,13,8,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
66,39,1,0.625,1,70,0,1,556.92,4.0,17,8,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67,33,0,2.5,2,71,1,4,622.4399999999999,3.0,11,8,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
68,47,0,2.5,3,72,0,2,767.78,4.0,23,8,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,43,0,8.75,3,73,0,5,505.17999999999995,1.0,17,8,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
70,27,0,1.25,3,74,1,1,2186.99,0.0,17,8,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
71,54,0,0.625,4,75,1,2,381.28999999999996,3.0,12,8,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
72,43,0,4.375,2,76,0,2,845.0,8.0,23,8,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,45,0,1.875,1,77,0,1,2232.62,9.0,14,8,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
74,40,0,1.25,4,78,1,4,654.29,2.0,14,8,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
75,29,1,18.125,3,79,0,1,299.90999999999997,1.0,13,8,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
76,29,0,5.0,3,80,1,3,336.31,0.0,22,8,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
77,30,0,6.25,3,81,1,2,715.91,1.0,12,8,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
78,27,0,6.875,2,82,1,1,571.0899999999999,1.0,18,8,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79,37,0,0.625,4,83,1,2,1735.24,7.0,14,8,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,38,0,17.5,4,84,1,1,855.79,0.0,12,8,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,29,0,1.875,4,86,1,3,517.14,1.0,11,8,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
82,35,0,10.0,2,87,1,3,330.71999999999997,0.0,13,8,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
