Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
45,No,Travel_Frequently,Research & Development,1.875,1,Medical,54,Female,1,Sales Executive,Divorced,460.2,1.0,13,8,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3
31,No,Travel_Rarely,Sales,10.0,4,Marketing,55,Female,2,Research Scientist,Divorced,364.52,0.0,19,8,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3
33,No,Travel_Frequently,Research & Development,5.625,3,Life Sciences,56,Male,4,Research Director,Married,2520.96,6.0,12,8,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3
39,No,Travel_Rarely,Sales,0.625,4,Life Sciences,57,Male,1,Sales Executive,Married,2556.45,1.0,22,8,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4
43,No,Travel_Frequently,Research & Development,4.375,4,Medical,58,Male,4,Research Scientist,Single,317.07,0.0,15,8,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3
49,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,59,Male,3,Manufacturing Director,Single,950.82,7.0,22,8,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4
52,Yes,Travel_Rarely,Research & Development,4.375,1,Life Sciences,60,Female,2,Research Scientist,Married,620.62,2.0,18,8,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3
27,No,Travel_Rarely,Research & Development,9.375,4,Medical,61,Male,3,Research Scientist,Single,507.26,1.0,22,8,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4
32,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,62,Male,3,Research Scientist,Married,346.06,1.0,11,8,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3
27,No,Travel_Rarely,Research & Development,8.125,2,Medical,63,Female,4,Research Director,Single,371.28,1.0,12,8,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3
31,No,Travel_Rarely,Sales,15.0,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,140.53,4.0,11,8,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3
32,No,Travel_Rarely,Research & Development,4.375,3,Technical Degree,65,Male,2,Healthcare Representative,Single,321.36,7.0,13,8,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3
28,Yes,Travel_Rarely,Research & Development,5.625,4,Medical,66,Male,1,Sales Executive,Married,737.49,5.0,14,8,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3
30,No,Travel_Rarely,Research & Development,8.125,3,Life Sciences,67,Female,4,Research Director,Married,545.61,1.0,13,8,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3
31,No,Travel_Frequently,Research & Development,1.25,1,Life Sciences,68,Female,1,Manager,Married,1262.69,1.0,17,8,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3
39,No,Travel_Frequently,Research & Development,11.875,4,Medical,69,Female,1,Research Scientist,Married,268.06,1.0,13,8,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3
39,Yes,Travel_Rarely,Research & Development,0.625,1,Medical,70,Female,1,Laboratory Technician,Married,556.92,4.0,17,8,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3
33,No,Travel_Frequently,Sales,2.5,2,Life Sciences,71,Male,4,Research Scientist,Single,622.4399999999999,3.0,11,8,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3
47,No,Travel_Rarely,Research & Development,2.5,3,Life Sciences,72,Female,2,Healthcare Representative,Married,767.78,4.0,23,8,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4
43,No,Travel_Frequently,Research & Development,8.75,3,Medical,73,Female,5,Research Director,Divorced,505.18,1.0,17,8,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3
27,No,Non-Travel,Research & Development,1.25,3,Life Sciences,74,Male,1,Research Director,Married,2186.99,0.0,17,8,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3
54,No,Travel_Frequently,Research & Development,0.625,4,Life Sciences,75,Male,2,Research Scientist,Single,381.29,3.0,12,8,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3
43,No,Travel_Rarely,Research & Development,4.375,2,Life Sciences,76,Female,2,Manager,Married,845.0,8.0,23,8,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4
45,No,Travel_Rarely,Sales,1.875,1,Marketing,77,Female,1,Sales Executive,Married,2232.62,9.0,14,8,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3
40,No,Travel_Rarely,Research & Development,1.25,4,Other,78,Male,4,Research Scientist,Married,654.29,2.0,14,8,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3
29,Yes,Travel_Rarely,Research & Development,18.125,3,Medical,79,Female,1,Research Scientist,Married,299.91,1.0,13,8,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3
29,No,Travel_Rarely,Human Resources,5.0,3,Medical,80,Male,3,Sales Representative,Single,336.31,0.0,22,8,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4
30,No,Travel_Rarely,Research & Development,6.25,3,Life Sciences,81,Male,2,Research Scientist,Divorced,715.91,1.0,12,8,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3
27,No,Travel_Rarely,Research & Development,6.875,2,Medical,82,Male,1,Manager,Married,571.0899999999999,1.0,18,8,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3
37,No,Travel_Rarely,Sales,0.625,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,1735.24,7.0,14,8,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3
38,No,Travel_Rarely,Research & Development,17.5,4,Medical,84,Male,1,Laboratory Technician,Divorced,855.79,0.0,12,8,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3
29,No,Travel_Rarely,Research & Development,1.875,4,Life Sciences,86,Male,3,Sales Executive,Divorced,517.14,1.0,11,8,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3
35,No,Travel_Rarely,Sales,10.0,2,Technical Degree,87,Male,3,Manager,Single,330.72,0.0,13,8,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3
23,No,Travel_Rarely,Research & Development,12.5,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,701.87,1.0,23,8,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4
41,No,Travel_Rarely,Research & Development,5.625,2,Life Sciences,89,Female,1,Laboratory Technician,Single,713.31,6.0,19,8,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3
47,No,Travel_Frequently,Sales,0.625,3,Medical,90,Female,2,Laboratory Technician,Single,888.42,3.0,16,8,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3
42,No,Travel_Rarely,Research & Development,1.875,4,Life Sciences,91,Male,1,Manager,Single,141.82999999999998,2.0,22,8,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4
29,No,Non-Travel,Sales,13.75,4,Marketing,92,Male,2,Human Resources,Married,745.68,1.0,22,8,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4
42,No,Travel_Rarely,Sales,4.375,4,Medical,93,Male,3,Research Scientist,Divorced,289.38,0.0,12,8,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3
32,No,Travel_Rarely,Research & Development,1.25,3,Medical,94,Male,2,Research Scientist,Married,747.11,1.0,13,8,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3
48,No,Travel_Rarely,Sales,8.125,4,Medical,95,Male,4,Sales Executive,Married,1281.02,3.0,16,8,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3
37,No,Travel_Rarely,Research & Development,5.0,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,710.7099999999999,4.0,12,8,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3
30,No,Non-Travel,Sales,15.625,4,Other,97,Male,1,Healthcare Representative,Married,699.4,7.0,21,8,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4
26,No,Travel_Rarely,Sales,17.5,3,Medical,98,Female,5,Laboratory Technician,Married,669.63,1.0,15,8,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3
42,No,Travel_Rarely,Sales,1.25,2,Medical,99,Female,1,Laboratory Technician,Single,277.29,3.0,13,8,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3
21,Yes,Travel_Frequently,Research & Development,5.625,3,Medical,100,Female,4,Manufacturing Director,Single,2323.75,1.0,12,8,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3
36,No,Non-Travel,Human Resources,17.5,3,Human Resources,101,Male,2,Laboratory Technician,Single,316.16,4.0,22,8,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4
36,No,Travel_Frequently,Research & Development,3.75,3,Life Sciences,102,Female,2,Research Scientist,Married,620.23,4.0,13,8,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3
57,No,Travel_Rarely,Research & Development,13.125,4,Life Sciences,103,Male,5,Research Scientist,Married,2490.93,2.0,18,8,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3
40,No,Travel_Rarely,Research & Development,5.0,3,Other,104,Male,2,Sales Executive,Married,661.31,3.0,14,8,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3
21,No,Non-Travel,Research & Development,0.625,5,Life Sciences,105,Female,2,Manager,Single,372.19,1.0,14,8,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3
33,Yes,Travel_Rarely,Human Resources,17.5,2,Human Resources,106,Female,5,Manager,Single,722.93,1.0,21,8,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4
37,No,Travel_Rarely,Research & Development,3.125,3,Life Sciences,107,Male,4,Research Scientist,Married,278.72,6.0,19,8,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3
46,No,Non-Travel,Sales,1.25,4,Marketing,108,Female,2,Laboratory Technician,Married,398.45,2.0,11,8,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3
41,Yes,Travel_Frequently,Research & Development,10.0,1,Medical,109,Female,1,Research Scientist,Single,365.3,1.0,11,8,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3
50,No,Travel_Rarely,Research & Development,5.625,3,Medical,110,Female,3,Laboratory Technician,Single,1285.44,6.0,15,8,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3
40,Yes,Travel_Rarely,Research & Development,5.0,3,Medical,111,Female,1,Healthcare Representative,Married,1121.64,2.0,20,8,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4
21,Yes,Travel_Rarely,Human Resources,6.25,2,Human Resources,113,Male,1,Laboratory Technician,Single,698.49,1.0,12,8,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3
29,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,114,Female,2,Research Director,Single,866.7099999999999,9.0,12,8,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3
35,No,Travel_Rarely,Research & Development,18.125,3,Life Sciences,115,Female,3,Sales Executive,Single,650.39,9.0,15,8,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3
28,No,Travel_Rarely,Research & Development,1.25,2,Medical,117,Male,3,Manager,Single,371.54,1.0,12,8,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3
49,No,Travel_Rarely,Sales,1.25,3,Technical Degree,118,Male,2,Manufacturing Director,Single,676.52,8.0,14,8,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3
51,No,Travel_Rarely,Research & Development,0.625,2,Life Sciences,119,Male,1,Sales Executive,Married,533.65,4.0,22,8,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4
36,No,Travel_Rarely,Sales,9.375,2,Life Sciences,120,Male,1,Sales Executive,Married,1258.27,4.0,12,8,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3
34,Yes,Non-Travel,Research & Development,4.375,3,Life Sciences,121,Male,1,Sales Representative,Single,730.2099999999999,8.0,25,8,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4
55,No,Travel_Rarely,Sales,16.25,3,Marketing,122,Male,1,Laboratory Technician,Single,1358.24,2.0,13,8,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3
24,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,123,Female,5,Manager,Divorced,376.61,1.0,18,8,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3
30,No,Travel_Rarely,Research & Development,1.875,3,Life Sciences,124,Female,2,Manager,Married,775.8399999999999,1.0,13,8,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3
22,No,Travel_Rarely,Research & Development,10.0,5,Other,126,Male,1,Research Scientist,Married,388.83,1.0,19,8,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3
36,No,Travel_Rarely,Research & Development,0.625,3,Medical,127,Female,5,Healthcare Representative,Married,2552.68,1.0,12,8,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3
30,Yes,Travel_Frequently,Sales,1.875,2,Marketing,128,Male,3,Research Scientist,Single,146.76999999999998,9.0,19,8,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3
37,No,Travel_Rarely,Research & Development,6.25,1,Technical Degree,129,Male,1,Sales Executive,Divorced,1734.33,1.0,14,8,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3
40,No,Travel_Rarely,Research & Development,3.75,2,Medical,130,Male,3,Research Scientist,Divorced,563.16,7.0,14,8,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3
42,No,Travel_Rarely,Research & Development,1.25,3,Medical,131,Female,4,Manager,Divorced,1434.03,3.0,12,8,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3
37,No,Travel_Rarely,Sales,5.625,1,Marketing,132,Male,3,Sales Executive,Single,577.1999999999999,2.0,11,8,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3
43,No,Travel_Rarely,Sales,6.25,2,Life Sciences,133,Female,1,Sales Executive,Divorced,600.2099999999999,1.0,11,8,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3
40,No,Travel_Rarely,Sales,3.75,2,Life Sciences,134,Female,1,Laboratory Technician,Married,344.11,6.0,13,8,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3
54,No,Travel_Rarely,Human Resources,5.625,3,Life Sciences,135,Female,2,Manufacturing Director,Married,821.99,4.0,23,8,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4
34,No,Non-Travel,Research & Development,17.5,3,Medical,136,Male,1,Laboratory Technician,Married,738.01,9.0,20,8,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4
31,No,Travel_Rarely,Research & Development,6.25,4,Life Sciences,137,Male,3,Sales Executive,Married,284.31,1.0,15,8,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3
43,No,Travel_Rarely,Sales,16.875,4,Life Sciences,139,Male,2,Sales Representative,Divorced,517.01,4.0,18,8,1,8.0,3,5,0,2,3.0,3.0,3.0,3,3
25,No,Travel_Rarely,Human Resources,4.375,2,Human Resources,140,Male,1,Manufacturing Director,Single,1122.29,1.0,19,8,1,5.0,2,5,1,3,2.0,4.0,3.0,4,3
37,No,Non-Travel,Research & Development,0.625,3,Medical,141,Male,3,Laboratory Technician,Married,261.04,3.0,22,8,0,15.0,5,13,10,7,2.0,3.0,3.0,2,4
31,No,Travel_Rarely,Research & Development,15.0,1,Medical,142,Male,3,Laboratory Technician,Married,577.1999999999999,1.0,13,8,1,4.0,2,4,3,2,4.0,1.0,3.0,3,3
39,No,Travel_Frequently,Research & Development,16.25,4,Technical Degree,143,Female,1,Sales Executive,Divorced,398.71,1.0,20,8,1,21.0,5,21,1,6,2.0,3.0,3.0,1,4
56,No,Travel_Frequently,Research & Development,12.5,4,Life Sciences,144,Female,3,Sales Executive,Married,691.73,9.0,14,8,0,36.0,1,7,7,7,3.0,1.0,2.0,3,3
30,No,Travel_Rarely,Sales,3.125,4,Medical,145,Female,2,Manufacturing Director,Single,703.3,0.0,17,8,1,6.0,2,5,4,4,2.0,3.0,3.0,3,3
41,No,Travel_Rarely,Research & Development,4.375,3,Technical Degree,146,Female,3,Research Scientist,Married,361.66,1.0,14,8,0,10.0,2,10,0,7,2.0,1.0,3.0,2,3
28,No,Travel_Rarely,Research & Development,4.375,3,Medical,147,Male,3,Healthcare Representative,Divorced,1554.41,1.0,13,8,0,10.0,2,10,1,8,3.0,1.0,3.0,2,3
25,Yes,Travel_Rarely,Research & Development,3.125,2,Life Sciences,148,Female,3,Laboratory Technician,Married,345.8,5.0,13,8,0,6.0,3,2,0,2,1.0,1.0,3.0,3,3
52,No,Travel_Rarely,Research & Development,16.25,2,Life Sciences,149,Female,2,Sales Representative,Married,438.75,2.0,21,8,0,28.0,2,5,0,4,4.0,3.0,3.0,2,4
45,No,Travel_Rarely,Research & Development,1.25,3,Medical,150,Female,1,Sales Executive,Married,662.74,3.0,14,8,1,8.0,4,2,0,2,1.0,4.0,2.0,3,3
52,No,Travel_Rarely,Research & Development,7.5,3,Medical,151,Male,2,Research Scientist,Married,634.14,2.0,11,8,1,31.0,3,5,1,4,4.0,4.0,1.0,3,3
42,No,Travel_Frequently,Sales,6.25,3,Marketing,152,Female,2,Healthcare Representative,Divorced,368.81,2.0,13,8,1,19.0,0,5,0,2,1.0,3.0,3.0,2,3
30,No,Travel_Rarely,Sales,15.625,3,Marketing,153,Male,1,Sales Executive,Single,312.78,2.0,20,8,1,11.0,5,5,0,2,3.0,4.0,3.0,3,4
60,No,Travel_Rarely,Research & Development,6.25,3,Life Sciences,154,Female,1,Manufacturing Director,Married,294.97,5.0,18,8,1,33.0,4,29,11,10,1.0,1.0,1.0,3,3
46,No,Travel_Rarely,Sales,11.875,4,Marketing,155,Female,1,Sales Executive,Divorced,534.04,2.0,14,8,0,19.0,5,10,0,8,3.0,3.0,2.0,2,3
42,No,Travel_Frequently,Research & Development,11.25,4,Technical Degree,156,Male,4,Sales Executive,Married,1716.78,0.0,13,8,2,7.0,2,6,0,4,4.0,4.0,4.0,3,3
24,Yes,Travel_Rarely,Research & Development,16.875,2,Medical,157,Male,1,Research Scientist,Single,1354.86,1.0,17,8,1,6.0,0,5,1,4,1.0,2.0,3.0,2,3
